code,lad,2001,2011,change,topic,parent
E07000107,Dartford,70.37,83.41,13.04,health_good,South East
E07000108,Dover,66.38,78.72,12.34,health_good,South East
E07000109,Gravesham,69.38,81.47,12.09,health_good,South East
E07000110,Maidstone,71.2,83.16,11.96,health_good,South East
E07000111,Sevenoaks,72.92,84.55,11.63,health_good,South East
E07000112,Folkestone and Hythe,66.08,78.33,12.25,health_good,South East
E07000113,Swale,68.28,80.18,11.9,health_good,South East
E07000114,Thanet,63.19,75.83,12.64,health_good,South East
E07000115,Tonbridge and Malling,72.5,84.25,11.75,health_good,South East
E07000116,Tunbridge Wells,72.93,85.02,12.09,health_good,South East
E07000117,Burnley,64.79,76.57,11.78,health_good,North West
E07000118,Chorley,69.1,81.2,12.1,health_good,North West
E07000119,Fylde,66.74,78.42,11.68,health_good,North West
E07000120,Hyndburn,64.4,77.25,12.85,health_good,North West
E07000121,Lancaster,67.37,80.51,13.14,health_good,North West
E07000122,Pendle,65.3,78.02,12.72,health_good,North West
E07000123,Preston,67.26,80.68,13.42,health_good,North West
E07000124,Ribble Valley,71.57,83.65,12.08,health_good,North West
E07000125,Rossendale,66.92,79.35,12.43,health_good,North West
E07000126,South Ribble,69.22,81.81,12.59,health_good,North West
E07000127,West Lancashire,69.06,80.32,11.26,health_good,North West
E07000128,Wyre,65.32,76.87,11.55,health_good,North West
E07000129,Blaby,71.31,83.32,12.01,health_good,East Midlands
E07000130,Charnwood,70.52,83.41,12.89,health_good,East Midlands
E07000131,Harborough,73.17,85.13,11.96,health_good,East Midlands
E07000132,Hinckley and Bosworth,69.41,82.1,12.69,health_good,East Midlands
E07000133,Melton,72.28,83.85,11.57,health_good,East Midlands
E07000134,North West Leicestershire,67.37,80.97,13.6,health_good,East Midlands
E07000135,Oadby and Wigston,70.03,81.81,11.78,health_good,East Midlands
E07000136,Boston,64.64,78.16,13.52,health_good,East Midlands
E07000137,East Lindsey,62.53,73.52,10.99,health_good,East Midlands
E07000138,Lincoln,67.19,80.76,13.57,health_good,East Midlands
E07000139,North Kesteven,69.57,81.1,11.53,health_good,East Midlands
E07000140,South Holland,64.93,78.08,13.15,health_good,East Midlands
E07000141,South Kesteven,70.6,81.94,11.34,health_good,East Midlands
E07000142,West Lindsey,68.27,79.96,11.69,health_good,East Midlands
E07000143,Breckland,66.98,79.52,12.54,health_good,East
E07000144,Broadland,68.73,81.29,12.56,health_good,East
E07000145,Great Yarmouth,63.31,76.31,13.0,health_good,East
E07000146,King's Lynn and West Norfolk,65.1,77.99,12.89,health_good,East
E07000147,North Norfolk,63.92,76.69,12.77,health_good,East
E07000148,Norwich,64.94,80.29,15.35,health_good,East
E07000149,South Norfolk,68.89,82.15,13.26,health_good,East
E07000150,Corby,68.14,81.1,12.96,health_good,East Midlands
E07000151,Daventry,73.47,83.71,10.24,health_good,East Midlands
E07000152,East Northamptonshire,70.63,82.79,12.16,health_good,East Midlands
E07000153,Kettering,69.93,82.39,12.46,health_good,East Midlands
E07000154,Northampton,70.01,82.85,12.84,health_good,East Midlands
E07000155,South Northamptonshire,74.55,85.58,11.03,health_good,East Midlands
E07000156,Wellingborough,67.81,80.71,12.9,health_good,East Midlands
E07000163,Craven,70.13,82.18,12.05,health_good,Yorkshire and The Humber
E07000164,Hambleton,71.76,83.09,11.33,health_good,Yorkshire and The Humber
E07000165,Harrogate,72.15,84.4,12.25,health_good,Yorkshire and The Humber
E07000166,Richmondshire,72.98,84.79,11.81,health_good,Yorkshire and The Humber
E07000167,Ryedale,69.39,81.22,11.83,health_good,Yorkshire and The Humber
E07000168,Scarborough,65.44,77.18,11.74,health_good,Yorkshire and The Humber
E07000169,Selby,70.51,82.66,12.15,health_good,Yorkshire and The Humber
E07000170,Ashfield,63.13,76.53,13.4,health_good,East Midlands
E07000171,Bassetlaw,65.3,77.5,12.2,health_good,East Midlands
E07000172,Broxtowe,68.1,80.47,12.37,health_good,East Midlands
E07000173,Gedling,68.1,80.22,12.12,health_good,East Midlands
E07000174,Mansfield,62.74,75.8,13.06,health_good,East Midlands
E07000175,Newark and Sherwood,67.28,79.41,12.13,health_good,East Midlands
E07000176,Rushcliffe,72.82,84.51,11.69,health_good,East Midlands
E07000177,Cherwell,72.98,84.98,12.0,health_good,South East
E07000178,Oxford,73.07,86.96,13.89,health_good,South East
E07000179,South Oxfordshire,74.74,85.92,11.18,health_good,South East
E07000180,Vale of White Horse,74.92,85.84,10.92,health_good,South East
E07000181,West Oxfordshire,73.79,85.34,11.55,health_good,South East
E07000187,Mendip,70.06,81.83,11.77,health_good,South West
E07000188,Sedgemoor,66.81,79.71,12.9,health_good,South West
E07000189,South Somerset,68.55,81.36,12.81,health_good,South West
E07000192,Cannock Chase,66.94,78.77,11.83,health_good,West Midlands
E07000193,East Staffordshire,69.42,81.59,12.17,health_good,West Midlands
E07000194,Lichfield,70.05,81.7,11.65,health_good,West Midlands
E07000195,Newcastle-under-Lyme,66.13,79.14,13.01,health_good,West Midlands
E07000196,South Staffordshire,70.39,80.85,10.46,health_good,West Midlands
E07000197,Stafford,69.57,81.72,12.15,health_good,West Midlands
E07000198,Staffordshire Moorlands,67.53,79.22,11.69,health_good,West Midlands
E07000199,Tamworth,69.13,80.84,11.71,health_good,West Midlands
E07000200,Babergh,70.44,82.41,11.97,health_good,East
E07000202,Ipswich,68.11,81.4,13.29,health_good,East
E07000203,Mid Suffolk,71.48,83.19,11.71,health_good,East
E07000207,Elmbridge,76.23,87.44,11.21,health_good,South East
E07000208,Epsom and Ewell,73.77,85.97,12.2,health_good,South East
E07000209,Guildford,75.17,87.05,11.88,health_good,South East
E07000210,Mole Valley,74.18,85.19,11.01,health_good,South East
E07000211,Reigate and Banstead,73.75,85.58,11.83,health_good,South East
E07000212,Runnymede,73.68,85.42,11.74,health_good,South East
E07000213,Spelthorne,72.52,83.86,11.34,health_good,South East
E07000214,Surrey Heath,76.73,86.77,10.04,health_good,South East
E07000215,Tandridge,73.63,84.86,11.23,health_good,South East
E07000216,Waverley,74.51,86.24,11.73,health_good,South East
E07000217,Woking,74.42,86.34,11.92,health_good,South East
E07000218,North Warwickshire,67.85,79.95,12.1,health_good,West Midlands
E07000219,Nuneaton and Bedworth,67.38,79.31,11.93,health_good,West Midlands
E07000220,Rugby,70.32,82.95,12.63,health_good,West Midlands
E07000221,Stratford-on-Avon,71.5,83.05,11.55,health_good,West Midlands
E07000222,Warwick,71.64,84.55,12.91,health_good,West Midlands
E07000223,Adur,66.66,79.24,12.58,health_good,South East
E07000224,Arun,65.56,78.75,13.19,health_good,South East
E07000225,Chichester,70.4,82.59,12.19,health_good,South East
E07000226,Crawley,71.21,83.52,12.31,health_good,South East
E07000227,Horsham,74.17,85.37,11.2,health_good,South East
E07000228,Mid Sussex,74.41,85.78,11.37,health_good,South East
E07000229,Worthing,66.27,80.32,14.05,health_good,South East
E07000234,Bromsgrove,71.06,82.49,11.43,health_good,West Midlands
E07000235,Malvern Hills,69.1,80.64,11.54,health_good,West Midlands
E07000236,Redditch,70.15,81.63,11.48,health_good,West Midlands
E07000237,Worcester,69.92,82.36,12.44,health_good,West Midlands
E07000238,Wychavon,70.42,81.96,11.54,health_good,West Midlands
E07000239,Wyre Forest,67.46,78.81,11.35,health_good,West Midlands
E07000240,St Albans,75.48,86.98,11.5,health_good,East
E07000241,Welwyn Hatfield,71.18,84.81,13.63,health_good,East
E07000242,East Hertfordshire,75.17,86.23,11.06,health_good,East
E07000243,Stevenage,70.95,82.74,11.79,health_good,East
E07000244,East Suffolk,67.48,79.64,12.16,health_good,East
E07000245,West Suffolk,71.49,83.24,11.75,health_good,East
E07000246,Somerset West and Taunton,67.85,80.53,12.68,health_good,South West
E08000001,Bolton,67.04,79.24,12.2,health_good,North West
E08000002,Bury,67.8,80.39,12.59,health_good,North West
E08000003,Manchester,64.58,80.45,15.87,health_good,North West
E08000004,Oldham,65.69,78.49,12.8,health_good,North West
E08000005,Rochdale,66.1,77.65,11.55,health_good,North West
E08000006,Salford,64.67,78.39,13.72,health_good,North West
E08000007,Stockport,69.23,81.11,11.88,health_good,North West
E08000008,Tameside,65.22,77.66,12.44,health_good,North West
E08000009,Trafford,69.85,82.62,12.77,health_good,North West
E08000010,Wigan,65.49,78.09,12.6,health_good,North West
E08000011,Knowsley,65.03,75.85,10.82,health_good,North West
E08000012,Liverpool,64.47,77.21,12.74,health_good,North West
E08000013,St. Helens,64.82,76.78,11.96,health_good,North West
E08000014,Sefton,67.02,77.86,10.84,health_good,North West
E08000015,Wirral,66.88,78.21,11.33,health_good,North West
E08000016,Barnsley,61.31,75.18,13.87,health_good,Yorkshire and The Humber
E08000017,Doncaster,64.54,77.62,13.08,health_good,Yorkshire and The Humber
E08000018,Rotherham,64.48,77.14,12.66,health_good,Yorkshire and The Humber
E08000019,Sheffield,65.23,80.08,14.85,health_good,Yorkshire and The Humber
E08000021,Newcastle upon Tyne,65.08,79.6,14.52,health_good,North East
E08000022,North Tyneside,64.93,78.18,13.25,health_good,North East
E08000023,South Tyneside,63.9,75.75,11.85,health_good,North East
E08000024,Sunderland,63.92,75.47,11.55,health_good,North East
E08000025,Birmingham,65.66,79.44,13.78,health_good,West Midlands
E08000026,Coventry,67.41,80.69,13.28,health_good,West Midlands
E08000027,Dudley,65.8,78.21,12.41,health_good,West Midlands
E08000028,Sandwell,62.65,76.69,14.04,health_good,West Midlands
E08000029,Solihull,70.89,81.71,10.82,health_good,West Midlands
E08000030,Walsall,64.74,77.3,12.56,health_good,West Midlands
E08000031,Wolverhampton,63.56,77.14,13.58,health_good,West Midlands
E08000032,Bradford,67.27,80.42,13.15,health_good,Yorkshire and The Humber
E08000033,Calderdale,67.64,80.68,13.04,health_good,Yorkshire and The Humber
E08000034,Kirklees,67.71,80.5,12.79,health_good,Yorkshire and The Humber
E08000035,Leeds,68.31,81.88,13.57,health_good,Yorkshire and The Humber
E08000036,Wakefield,64.6,76.79,12.19,health_good,Yorkshire and The Humber
E08000037,Gateshead,62.58,76.48,13.9,health_good,North East
E09000001,City of London,74.01,87.95,13.94,health_good,London
E09000002,Barking and Dagenham,65.49,80.97,15.48,health_good,London
E09000003,Barnet,72.5,84.45,11.95,health_good,London
E09000004,Bexley,70.32,82.66,12.34,health_good,London
E09000005,Brent,70.04,82.86,12.82,health_good,London
E09000006,Bromley,72.45,84.22,11.77,health_good,London
E09000007,Camden,71.27,83.97,12.7,health_good,London
E09000008,Croydon,70.71,83.44,12.73,health_good,London
E09000009,Ealing,71.07,83.65,12.58,health_good,London
E09000010,Enfield,69.55,81.85,12.3,health_good,London
E09000011,Greenwich,68.35,83.09,14.74,health_good,London
E09000012,Hackney,68.36,82.89,14.53,health_good,London
E09000013,Hammersmith and Fulham,72.99,85.71,12.72,health_good,London
E09000014,Haringey,70.16,83.18,13.02,health_good,London
E09000015,Harrow,72.11,83.58,11.47,health_good,London
E09000016,Havering,69.72,81.57,11.85,health_good,London
E09000017,Hillingdon,71.34,84.06,12.72,health_good,London
E09000018,Hounslow,70.91,84.07,13.16,health_good,London
E09000019,Islington,68.0,82.36,14.36,health_good,London
E09000020,Kensington and Chelsea,75.18,86.32,11.14,health_good,London
E09000021,Kingston upon Thames,73.91,86.17,12.26,health_good,London
E09000022,Lambeth,71.57,85.0,13.43,health_good,London
E09000023,Lewisham,69.18,83.11,13.93,health_good,London
E09000024,Merton,72.69,85.63,12.94,health_good,London
E09000025,Newham,67.95,83.06,15.11,health_good,London
E09000026,Redbridge,69.76,83.1,13.34,health_good,London
E09000027,Richmond upon Thames,76.34,87.87,11.53,health_good,London
E09000028,Southwark,70.3,84.71,14.41,health_good,London
E09000029,Sutton,71.54,84.27,12.73,health_good,London
E09000030,Tower Hamlets,67.89,83.31,15.42,health_good,London
E09000031,Waltham Forest,68.6,82.71,14.11,health_good,London
E09000032,Wandsworth,74.58,87.34,12.76,health_good,London
E09000033,Westminster,72.39,84.15,11.76,health_good,London
W06000001,Isle of Anglesey,67.37,78.57,11.2,health_good,Wales
W06000002,Gwynedd,69.25,81.05,11.8,health_good,Wales
W06000003,Conwy,65.19,77.51,12.32,health_good,Wales
W06000004,Denbighshire,66.0,78.0,12.0,health_good,Wales
W06000005,Flintshire,69.64,81.12,11.48,health_good,Wales
W06000006,Wrexham,66.98,79.69,12.71,health_good,Wales
W06000008,Ceredigion,66.96,79.25,12.29,health_good,Wales
W06000009,Pembrokeshire,65.64,77.94,12.3,health_good,Wales
W06000010,Carmarthenshire,62.41,75.23,12.82,health_good,Wales
W06000011,Swansea,64.59,77.93,13.34,health_good,Wales
W06000012,Neath Port Talbot,59.69,73.34,13.65,health_good,Wales
W06000013,Bridgend,63.52,76.01,12.49,health_good,Wales
W06000014,Vale of Glamorgan,68.28,80.06,11.78,health_good,Wales
W06000015,Cardiff,69.03,81.43,12.4,health_good,Wales
W06000016,Rhondda Cynon Taff,61.04,74.53,13.49,health_good,Wales
W06000018,Caerphilly,61.58,74.75,13.17,health_good,Wales
W06000019,Blaenau Gwent,59.28,72.56,13.28,health_good,Wales
W06000020,Torfaen,62.16,75.78,13.62,health_good,Wales
W06000021,Monmouthshire,68.64,80.05,11.41,health_good,Wales
W06000022,Newport,65.4,78.55,13.15,health_good,Wales
W06000023,Powys,66.76,78.94,12.18,health_good,Wales
W06000024,Merthyr Tydfil,58.63,72.97,14.34,health_good,Wales
